"port_ids","npl","ii","roi","sr","mdd","wintrade","winrate","total_position","weighted_score","rank","duration_in_seconds"
"3946087913459823600","-40.66724167","1470339.0789956618","-0.0027658410397265","-0.0057084940040315","-453.51285960000007","1930","31.71733771569433","6085","0.0790095201170607","145","376481"
"3949214983441029000","1317.5775589599998","3977551907.2002687","0.00003312533914579182","0.0587696018554005","-131.15652971999998","1675","36.9757174392936","4530","0.1620928976031732","92","5176019"
"3951723256343550500","5260.022863890001","9058703953.91616","0.00005806595392286824","0.0583782536431892","-1073.1449283800025","1215","35.24804177545692","3447","0.1609824913666776","94","4573033"
"3953433416230728700","4924.761779980001","34418761490.47824","0.000014308364295276602","0.1671040266501729","-675.6869999","110","20.87286527514232","527","0.1636806061626529","90","4977205"
"3953764659057082000","6048.86608919","53319086723.88787","0.000011344654345851734","0.1240309450742231","-957.0232210199964","180","30.874785591766724","583","0.1776025303241102","77","5042690"
"3956076827719377400","16790.01223802","4326803964.715589","0.0003880465205944","0.0995280174550005","-635.0500145299998","2019","51.55771195097037","3916","0.2390224374741781","31","5008723"
"3957509601040585000","3174.1803667200006","28982161280.876945","0.000010952186539705696","0.0252300986709615","-3268.44","300","26.954177897574123","1113","0.13601148770865","117","5111829"
"3960874214179953700","19567.47128569","158174466975.98734","0.000012370815378603784","0.162947815025326","-2233.99999999","1233","51.56838143036386","2391","0.2669882553690354","21","4824400"
"3962024093501275000","9314.49406018","157005955151.59564","0.000005932573736573543","0.0740671788308046","-1828.4947021299995","337","26.47289866457188","1273","0.1550173283328415","101","4748211"
"3966142151544442000","4883.80077594","11724136557.086332","0.000041655952676430745","0.0524887643645031","-1661.4546297300017","1028","53.20910973084886","1932","0.2047774829575255","54","4602116"
"3975304792994095000","2536.0810463","1918992.9237973653","0.1321568732667091","0.262565004977468","-91.88800600000012","1040","42.65791632485644","2438","0.2352275496242582","34","4071921"
"3975392755164484000","2330.27031414","18911428355.856487","0.000012322021744160654","0.0952051617352317","-451.2251471999999","512","27.99343903772553","1829","0.1436198404006218","110","4077476"
"3976088733682660000","5901.15009982","1306264839.896463","0.0004517575547917","0.140724903584415","-1074.721004","1226","43.56787491115849","2814","0.201311445988784","56","3664004"
"3977078013600312300","4622.351437599999","9990035472.018322","0.00004626961986818781","0.0896288816253992","-753.4702992500004","1638","32.64248704663213","5018","0.1570857627892958","99","3969843"
"3977116548751698000","603.98050076","45405105241.05576","0.0000013302039441456347","0.0300237439041141","-905.2161011399996","456","28.078817733990142","1624","0.119005317332027","129","3956616"
"3978449781300392400","5888.6560088","32687318390.17759","0.00001801510891321546","0.1218425596900338","-1201.615229999999","344","43.87755102040816","784","0.1981849504371558","60","3878399"
"3986814617275053600","16337.46188064","8725844.264860451","0.1872307295975019","0.3297865686168024","-2.381947469999432","2780","78.22172200337648","3554","0.3617215375632158","4","3172444"
"3987739404272887300","12464.6063154","23952325.75414517","0.0520392317779115","0.0498825024111054","-3386.656093979994","1381","22.82644628099173","6050","0.1329126609720788","119","3289746"
"3988071780777703000","3424.4699222","3172104482.6483183","0.0001079557732392","0.037341007638718","-135.64724225000057","890","37.316561844863735","2385","0.1414714148343022","112","3322818"
"3988187872032604000","2599.76167062","859729063.4985048","0.000302393135349","0.0937031213134867","-1194.03312924","1711","32.665139366170294","5238","0.1494408325601198","105","3305930"
"3988205565930333700","3283.93800993","12939605634.280075","0.000025378965192185392","0.0739423530200518","-2247.36956996","141","38.00539083557952","371","0.1595036188477898","96","3268194"
"3993014919980212000","3078.66301039","2394497522.2908654","0.0001285724032591","0.1409523441274147","-60.84000000000015","331","47.62589928057554","695","0.1972557765361619","61","2963420"
"3993222640082270000","1884.46844302","1668970027.7694087","0.0001129120602326","0.091882829576864","-314.1775242199999","1434","46.45286686103013","3087","0.1769382483017803","78","3007035"
"3994879592543699000","3658.7650624","573132746.0913161","0.0006383800415091","0.119383598257842","-175.48129108000091","361","55.2833078101072","653","0.2069661687673247","52","2604263"
